Code	MIN	MAX	ROL	ROQ	
MTAUT0001912	0	0	0	0	0
MTAUT0001913	0	0	0	0	0
MTAUT0001914	0	0	0	0	0
MTAUT0001915	0	0	0	0	0
MTAUT0001917	0	0	0	0	0
MTAUT0001922	0	0	0	0	0
MTAUT0001923	0	0	0	0	0
MTAUT0001924	0	0	0	0	0
MTAUT0001925	0	0	0	0	0
MTAUT0001926	0	0	0	0	0
MTAUT0001927	0	0	0	0	0
MTAUT0001928	0	0	0	0	0
MTAUT0001929	0	0	0	0	0
MTAUT0001933	0	0	0	0	0
MTAUT0001935	0	0	0	0	0
MTAUT0001936	0	0	0	0	0
MTAUT0001940	0	0	0	0	0
MTAUT0001941	0	0	0	0	0
MTAUT0001945	0	0	0	0	0
MTAUT0001952	0	0	0	0	0
MTAUT0001953	0	0	0	0	0
MTAUT0001954	0	0	0	0	0
MTAUT0001958	0	0	0	0	0
MTAUT0001959	0	0	0	0	0
MTAUT0001960	0	0	0	0	0
MTAUT0001961	0	0	0	0	0
MTAUT0001963	0	0	0	0	0
MTAUT0001964	3	8	3	5	1
MTAUT0001965	0	0	0	0	0
MTAUT0001966	0	0	0	0	0
MTAUT0001967	0	0	0	0	0
MTAUT0001968	0	0	0	0	0
MTAUT0001969	0	0	0	0	0
MTAUT0001970	0	0	0	0	0
MTAUT0001971	0	0	0	0	0
MTAUT0001972	0	0	0	0	0
MTAUT0001973	0	0	0	0	0
MTAUT0001974	0	0	0	0	0
MTAUT0001975	0	0	0	0	0
MTAUT0002020	0	0	0	0	0
MTAUT0002032	0	0	0	0	0
MTAUT0002033	0	0	0	0	0
MTAUT0002034	0	0	0	0	0
MTAUT0002035	0	0	0	0	0
MTAUT0002036	0	0	0	0	0
MTAUT0002037	0	0	0	0	0
MTAUT0002039	0	0	0	0	0
MTAUT0002041	0	0	0	0	0
MTAUT0002042	0	0	0	0	0
MTAUT0002043	0	0	0	0	0
MTAUT0002056	0	0	0	0	0
MTAUT0002057	0	0	0	0	0
MTAUT0002058	0	0	0	0	0
MTAUT0002059	0	0	0	0	0
MTAUT0002064	0	0	0	0	0
MTAUT0002065	0	0	0	0	0
MTAUT0002068	2	6	3	6	1
MTAUT0002069	2	6	3	6	1
MTAUT0002070	2	4	3	5	1
MTAUT0002071	2	4	3	5	1
MTAUT0002072	2	6	3	6	1
MTAUT0002073	2	6	3	6	1
MTAUT0002074	2	6	3	6	1
MTAUT0002075	5	30	10	20	1
MTAUT0002076	4	30	10	40	1
MTAUT0002077	1	3	1	4	1
MTAUT0002078	2	4	2	2	1
MTAUT0002079	1	2	1	2	1
MTAUT0002080	1	2	1	2	1
MTAUT0002081	1	2	1	2	1
MTAUT0002087	0	0	0	0	0
MTAUT0002090	0	0	0	0	0
MTAUT0002091	0	0	0	0	0
MTAUT0002092	0	0	0	0	0
MTAUT0002093	0	0	0	0	0
MTAUT0002094	0	0	0	0	0
MTAUT0002095	0	0	0	0	0
MTAUT0002105	0	0	0	0	0
MTAUT0002106	0	0	0	0	0
MTAUT0002107	0	0	0	0	0
MTAUT0002108	0	0	0	0	0
MTAUT0002112	0	0	0	0	0
MTAUT0002113	0	0	0	0	0
MTAUT0002114	0	0	0	0	0
MTAUT0002115	0	0	0	0	0
MTAUT0002116	0	0	0	0	0
MTAUT0002123	0	0	0	0	0
MTAUT0002124	0	0	0	0	0
MTAUT0002125	0	0	0	0	0
MTAUT0002126	0	0	0	0	0
MTAUT0002134	0	0	0	0	0
MTAUT0002135	0	0	0	0	0
MTAUT0002136	0	0	0	0	0
MTAUT0002137	0	0	0	0	0
MTAUT0002138	0	0	0	0	0
MTAUT0002139	0	0	0	0	0
MTAUT0002140	0	0	0	0	0
MTAUT0002141	0	0	0	0	0
MTAUT0002155	0	0	0	0	0
MTAUT0002156	0	0	0	0	0
MTAUT0002157	0	0	0	0	0
MTAUT0002158	0	0	0	0	0
MTAUT0002161	0	0	0	0	0
MTAUT0002162	0	0	0	0	0
MTAUT0002163	0	0	0	0	0
MTAUT0002164	0	0	0	0	0
MTAUT0002165	0	0	0	0	0
MTAUT0002166	0	0	0	0	0
MTAUT0002167	0	0	0	0	0
MTAUT0002168	0	0	0	0	0
MTAUT0002169	0	0	0	0	0
MTAUT0002176	0	0	0	0	0
MTAUT0002177	0	0	0	0	0
MTAUT0002180	0	0	0	0	0
MTAUT0002181	0	0	0	0	0
MTAUT0002182	0	0	0	0	0
MTAUT0002183	0	0	0	0	0
MTAUT0002184	0	0	0	0	0
MTAUT0002189	0	0	0	0	0
MTAUT0002190	0	0	0	0	0
MTAUT0002191	0	0	0	0	0
MTAUT0002192	0	0	0	0	0
MTAUT0002193	0	0	0	0	0
MTAUT0002194	0	0	0	0	0
MTAUT0002195	0	0	0	0	0
MTAUT0002197	0	0	0	0	0
MTAUT0002198	0	0	0	0	0
MTAUT0002226	0	0	0	0	0
MTAUT0002235	0	0	0	0	0
MTAUT0002236	0	0	0	0	0
MTAUT0002240	0	0	0	0	0
MTAUT0002241	0	0	0	0	0
MTAUT0002242	0	0	0	0	0
MTAUT0002243	0	0	0	0	0
MTAUT0002244	0	0	0	0	0
MTAUT0002262	0	0	0	0	0
MTAUT0002278	0	0	0	0	0
MTAUT0002279	0	0	0	0	0
MTAUT0002280	0	0	0	0	0
MTAUT0002281	0	0	0	0	0
MTAUT0002282	0	0	0	0	0
MTAUT0002283	0	0	0	0	0
MTAUT0002284	0	0	0	0	0
MTAUT0002290	0	0	0	0	0
MTAUT0002293	0	0	0	0	0
MTAUT0002294	0	0	0	0	0
MTAUT0002297	0	0	0	0	0
MTAUT0002298	0	0	0	0	0
MTAUT0002299	0	0	0	0	0
MTAUT0002300	0	0	0	0	0
MTAUT0002301	0	0	0	0	0
MTAUT0002302	0	0	0	0	0
MTAUT0002303	0	0	0	0	0
MTAUT0002304	0	0	0	0	0
MTAUT0002313	0	0	0	0	0
MTAUT0002314	0	0	0	0	0
MTAUT0002370	0	0	0	0	0
MTAUT0002371	0	0	0	0	0
MTAUT0002372	0	0	0	0	0
MTAUT0002373	0	0	0	0	0
MTAUT0002374	0	0	0	0	0
MTAUT0002375	0	0	0	0	0
MTAUT0002376	0	0	0	0	0
MTAUT0002377	0	0	0	0	0
MTAUT0002378	0	0	0	0	0
MTAUT0002379	0	0	0	0	0
MTAUT0002380	0	0	0	0	0
MTAUT0002416	0	0	0	0	0
MTAUT0002417	0	0	0	0	0
MTAUT0002423	0	0	0	0	0
MTAUT0002433	0	0	0	0	0
MTAUT0002434	0	0	0	0	0
MTAUT0002435	0	0	0	0	0
MTAUT0002436	0	0	0	0	0
MTAUT0002437	0	0	0	0	0
MTAUT0002438	0	0	0	0	0
MTAUT0002439	0	0	0	0	0
MTAUT0002440	0	0	0	0	0
MTAUT0002448	0	0	0	0	0
MTAUT0002449	0	0	0	0	0
MTAUT0002471	0	0	0	0	0
MTAUT0002473	0	0	0	0	0
MTAUT0002474	0	0	0	0	0
MTAUT0002475	0	0	0	0	0
MTAUT0002476	0	0	0	0	0
MTAUT0002477	0	0	0	0	0
MTAUT0002478	0	0	0	0	0
MTAUT0002479	0	0	0	0	0
MTAUT0002480	0	0	0	0	0
MTAUT0002481	0	0	0	0	0
MTAUT0002482	0	0	0	0	0
MTAUT0002483	0	0	0	0	0
MTAUT0002484	0	0	0	0	0
MTAUT0002485	0	0	0	0	0
MTAUT0002487	0	0	0	0	0
MTAUT0002488	0	0	0	0	0
MTAUT0002489	0	0	0	0	0
MTAUT0002490	0	0	0	0	0
MTAUT0002494	0	0	0	0	0
MTAUT0002495	0	0	0	0	0
MTAUT0002496	0	0	0	0	0
MTAUT0002497	0	0	0	0	0
MTAUT0002498	0	0	0	0	0
MTAUT0002499	0	0	0	0	0
MTAUT0002500	0	0	0	0	0
MTAUT0002501	0	0	0	0	0
MTAUT0002502	0	0	0	0	0
MTAUT0002503	0	0	0	0	0
MTAUT0002504	0	0	0	0	0
MTAUT0002505	0	0	0	0	0
MTAUT0002506	0	0	0	0	0
MTAUT0002507	0	0	0	0	0
MTAUT0002508	0	0	0	0	0
MTAUT0002509	0	0	0	0	0
MTAUT0002510	0	0	0	0	0
MTAUT0002511	0	0	0	0	0
MTAUT0002512	0	0	0	0	0
MTAUT0002513	0	0	0	0	0
MTAUT0002514	0	0	0	0	0
MTAUT0002515	0	0	0	0	0
MTAUT0002516	0	0	0	0	0
MTAUT0002517	0	0	0	0	0
MTAUT0002518	0	0	0	0	0
MTAUT0002519	0	0	0	0	0
MTAUT0002520	0	0	0	0	0
MTAUT0002521	0	0	0	0	0
MTAUT0002522	0	0	0	0	0
MTAUT0002523	0	0	0	0	0
MTAUT0002524	0	0	0	0	0
MTAUT0002525	0	0	0	0	0
MTAUT0002526	0	0	0	0	0
MTAUT0002527	0	0	0	0	0
MTAUT0002528	0	0	0	0	0
MTAUT0002529	0	0	0	0	0
MTAUT0002530	0	0	0	0	0
MTAUT0002531	0	0	0	0	0
MTAUT0002532	0	0	0	0	0
MTAUT0002534	0	0	0	0	0
MTAUT0002536	0	0	0	0	0
MTAUT0002557	0	0	0	0	0
MTAUT0002558	0	0	0	0	0
MTAUT0002561	0	0	0	0	0
MTAUT0002562	0	0	0	0	0
MTAUT0002563	0	0	0	0	0
MTAUT0002564	0	0	0	0	0
MTAUT0002565	0	0	0	0	0
MTAUT0002566	0	0	0	0	0
MTAUT0002567	0	0	0	0	0
MTAUT0002571	0	0	0	0	0
MTAUT0002576	0	0	0	0	0
MTAUT0002577	0	0	0	0	0
MTAUT0002578	0	0	0	0	0
MTAUT0002587	0	0	0	0	0
MTAUT0002588	0	0	0	0	0
MTAUT0002589	0	0	0	0	0
MTAUT0002590	0	0	0	0	0
MTAUT0002591	0	0	0	0	0
MTAUT0002592	0	0	0	0	0
MTAUT0002607	0	0	0	0	0
MTAUT0002608	0	0	0	0	0
MTAUT0002609	0	0	0	0	0
MTAUT0002610	0	0	0	0	0
MTAUT0002611	0	0	0	0	0
MTAUT0002612	0	0	0	0	0
MTAUT0002613	0	0	0	0	0
MTAUT0002614	0	0	0	0	0
MTAUT0002615	0	0	0	0	0
MTAUT0002625	0	0	0	0	0
MTAUT0002626	0	0	0	0	0
MTAUT0002627	0	0	0	0	0
MTAUT0002628	0	0	0	0	0
MTAUT0002629	0	0	0	0	0
MTAUT0002630	0	0	0	0	0
MTAUT0002631	0	0	0	0	0
MTAUT0002632	0	0	0	0	0
MTAUT0002633	0	0	0	0	0
MTAUT0002634	0	0	0	0	0
MTAUT0002636	0	0	0	0	0
MTAUT0002647	0	0	0	0	0
MTAUT0002654	0	0	0	0	0
MTAUT0002655	0	0	0	0	0
MTAUT0002656	0	0	0	0	0
MTAUT0002657	0	0	0	0	0
MTAUT0002661	0	0	0	0	0
MTAUT0002662	0	0	0	0	0
MTAUT0002663	0	0	0	0	0
MTAUT0002678	0	0	0	0	0
MTAUT0002679	0	0	0	0	0
MTAUT0002680	0	0	0	0	0
MTAUT0002681	0	0	0	0	0
MTAUT0002682	0	0	0	0	0
MTAUT0002683	0	0	0	0	0
MTAUT0002684	0	0	0	0	0
MTAUT0002685	0	0	0	0	0
MTAUT0002699	0	0	0	0	0
MTAUT0002712	0	0	0	0	0
MTAUT0002713	0	0	0	0	0
MTAUT0002714	0	0	0	0	0
MTAUT0002715	0	0	0	0	0
MTAUT0002763	0	0	0	0	0
MTAUT0002768	0	0	0	0	0
MTELC0000001	5	10	6	4	1
MTELC0000002	5	10	6	4	1
MTELC0000003	1	2	1	1	1
MTELC0000004	5	10	6	4	1
MTELC0000005	5	10	6	4	1
MTELC0000006	10	15	11	4	1
MTELC0000007	5	10	6	4	1
MTELC0000008	0	0	0	0	0
MTELC0000009	5	10	6	4	1
MTELC0000010	0	0	0	0	0
MTELC0000011	0	0	0	0	0
MTELC0000012	1	2	1	1	1
MTELC0000013	0	0	0	0	0
MTELC0000014	10	15	11	4	1
MTELC0000015	10	15	11	4	1
MTELC0000016	10	15	11	4	1
MTELC0000017	0	0	0	0	0
MTELC0000018	2	4	3	1	1
MTELC0000019	0	0	0	0	0
MTELC0000020	10	15	11	4	1
MTELC0000021	10	15	11	4	1
MTELC0000022	0	0	0	0	0
MTELC0000023	5	10	6	4	1
MTELC0000024	0	0	0	0	0
MTELC0000025	0	0	0	0	0
MTELC0000026	20	30	11	19	1
MTELC0000027	20	30	11	19	1
MTELC0000028	1	2	1	1	1
MTELC0000029	1	2	1	1	1
MTELC0000030	5	10	6	4	1
MTELC0000031	5	10	6	4	1
MTELC0000032	0	0	0	0	0
MTELC0000033	10	15	11	4	1
MTELC0000034	0	0	0	0	0
MTELC0000035	0	0	0	0	0
MTELC0000036	1	2	1	1	1
MTELC0000037	1	2	1	1	1
MTELC0000038	1	2	1	1	1
MTELC0000039	1	2	1	1	1
MTELC0000040	5	10	6	4	1
MTELC0000041	5	10	6	4	1
MTELC0000042	6	10	6	5	1
MTELC0000043	6	10	6	5	1
MTELC0000044	1	2	1	1	1
MTELC0000045	1	1	0	1	1
MTELC0000046	1	1	0	1	1
MTELC0000047	1	1	0	1	1
MTELC0000048	1	1	0	1	1
MTELC0000049	1	2	1	1	1
MTELC0000050	5	10	6	4	1
MTELC0000051	0	0	0	0	0
MTELC0000052	0	0	0	0	0
MTELC0000053	0	0	0	0	0
MTELC0000054	2	3	3	0	1
MTELC0000055	0	0	0	0	0
MTELC0000056	1	2	1	1	1
MTELC0000057	0	0	0	0	0
MTELC0000058	20	30	25	5	1
MTELC0000059	10	15	11	4	1
MTELC0000060	5	10	6	5	1
MTELC0000061	5	10	6	5	1
MTELC0000062	0	0	0	0	0
MTELC0000063	5	10	6	5	1
MTELC0000064	5	10	6	5	1
MTELC0000065	5	10	6	5	1
MTELC0000066	0	0	0	0	0
MTELC0000067	0	0	0	0	0
MTELC0000068	0	0	0	0	0
MTELC0000069	10	20	10	10	1
MTELC0000070	0	0	0	0	0
MTELC0000071	0	0	0	0	0
MTELC0000072	0	0	0	0	0
MTELC0000073	5	10	6	4	1
MTELC0000074	5	10	6	4	1
MTELC0000075	5	10	6	4	1
MTELC0000076	0	0	0	0	0
MTELC0000077	0	0	0	0	0
MTELC0000078	0	0	0	0	0
MTELC0000079	2	4	3	1	1
MTELC0000080	0	0	0	0	0
MTELC0000081	0	0	0	0	0
MTELC0000082	0	0	0	0	0
MTELC0000083	0	0	0	0	0
MTELC0000084	0	0	0	0	0
MTELC0000085	0	0	0	0	0
MTELC0000086	0	0	0	0	0
MTELC0000087	0	0	0	0	0
MTELC0000088	0	0	0	0	0
MTELC0000089	0	0	0	0	0
MTELC0000090	3	5	4	1	1
MTELC0000091	3	5	4	1	1
MTELC0000092	0	0	0	0	0
MTELC0000093	5	8	6	2	1
MTELC0000094	5	8	6	2	1
MTELC0000095	5	8	6	2	1
MTELC0000096	5	8	6	2	1
MTELC0000097	5	10	6	4	1
MTELC0000098	5	10	6	4	1
MTELC0000099	0	0	0	0	0
MTELC0000100	5	10	6	4	1
MTELC0000101	0	0	0	0	0
MTELC0000102	5	10	6	4	1
MTELC0000103	0	0	0	0	0
MTELC0000104	5	10	6	4	1
MTELC0000105	0	0	0	0	0
MTELC0000106	5	10	6	4	1
MTELC0000107	0	0	0	0	0
MTELC0000108	0	0	0	0	0
MTELC0000109	2	4	3	1	1
MTELC0000110	2	4	3	1	1
MTELC0000111	10	15	11	4	1
MTELC0000112	5	10	6	4	1
MTELC0000113	5	10	6	4	1
MTELC0000114	0	0	0	0	0
MTELC0000115	5	8	6	2	1
MTELC0000116	0	0	0	0	0
MTELC0000117	0	0	0	0	0
MTELC0000118	0	0	0	0	0
MTELC0000119	0	0	0	0	0
MTELC0000120	0	0	0	0	0
MTELC0000121	100	300	55	250	1
MTELC0000122	10	15	11	4	1
MTELC0000123	10	15	11	4	1
MTELC0000124	2	4	3	1	1
MTELC0000125	2	4	3	1	1
MTELC0000126	1	1	0	1	1
MTELC0000127	1	1	0	1	1
MTELC0000128	1	1	0	1	1
MTELC0000129	1	1	0	1	1
MTELC0000130	1	1	0	1	1
MTELC0000131	1	1	0	1	1
MTELC0000132	10	20	15	5	1
MTELC0000133	10	20	15	5	1
MTELC0000134	8	15	9	6	1
MTELC0000135	0	0	0	0	0
MTELC0000136	8	15	9	6	1
MTELC0000137	10	20	12	8	1
MTELC0000138	0	0	0	0	0
MTELC0000139	0	0	0	0	0
MTELC0000140	8	20	12	8	1
MTELC0000141	5	10	6	4	1
MTELC0000142	8	20	9	11	1
MTELC0000143	1	1	1	0	1
MTELC0000144	0	0	0	0	0
MTELC0000145	0	0	0	0	0
MTELC0000146	0	0	0	0	0
MTELC0000147	0	0	0	0	0
MTELC0000148	0	0	0	0	0
MTELC0000149	0	0	0	0	0
MTELC0000150	3	5	4	1	1
MTELC0000151	3	5	4	1	1
MTELC0000152	8	15	9	6	1
MTELC0000153	5	10	6	4	1
MTELC0000154	8	10	9	1	1
MTELC0000155	5	10	6	4	1
MTELC0000156	3	5	4	1	1
MTELC0000157	0	0	0	0	0
MTELC0000158	5	10	6	4	1
MTELC0000159	0	0	0	0	0
MTELC0000160	5	10	6	4	1
MTELC0000161	8	15	9	6	1
MTELC0000162	4	10	6	4	1
MTELC0000163	4	10	6	4	1
MTELC0000164	4	10	5	5	1
MTELC0000165	4	10	5	5	1
MTELC0000166	5	10	6	4	1
MTELC0000167	0	0	0	0	0
MTELC0000168	0	0	0	0	0
MTELC0000169	0	0	0	0	0
MTELC0000170	0	0	0	0	0
MTELC0000171	0	0	0	0	0
MTELC0000172	0	0	0	0	0
MTELC0000173	0	0	0	0	0
MTELC0000174	0	0	0	0	0
MTELC0000175	0	0	0	0	0
MTELC0000176	0	0	0	0	0
MTELC0000177	0	0	0	0	0
MTELC0000178	0	0	0	0	0
MTELC0000179	0	0	0	0	0
MTELC0000180	0	0	0	0	0
MTELC0000181	1	2	1	1	1
MTELC0000182	0	0	0	0	0
MTELC0000183	0	0	0	0	0
MTELC0000184	0	0	0	0	0
MTELC0000185	3	5	4	1	1
MTELC0000186	0	0	0	0	0
MTELC0000187	0	0	0	0	0
MTELC0000188	1	2	1	1	1
MTELC0000189	5	10	6	4	1
MTELC0000190	5	10	6	4	1
MTELC0000191	5	10	6	4	1
MTELC0000192	2	3	2	1	1
MTELC0000193	1	2	1	1	1
MTELC0000194	2	4	3	1	1
MTELC0000195	2	4	3	1	1
MTELC0000196	2	4	3	1	1
MTELC0000197	2	4	3	1	1
MTELC0000198	0	0	0	0	0
MTELC0000199	50	100	60	40	1
MTELC0000200	2	5	3	2	1
MTELC0000201	2	5	3	2	1
MTELC0000202	0	0	0	0	0
MTELC0000203	0	0	0	0	0
MTELC0000204	0	0	0	0	0
MTELC0000205	0	0	0	0	0
MTELC0000206	0	0	0	0	0
MTELC0000207	0	0	0	0	0
MTELC0000208	0	0	0	0	0
MTELC0000209	0	0	0	0	0
MTELC0000210	0	0	0	0	0
MTELC0000211	0	0	0	0	0
MTELC0000212	0	0	0	0	0
MTELC0000213	0	0	0	0	0
MTELC0000214	5	10	6	4	1
MTELC0000215	0	0	0	0	0
MTELC0000216	0	0	0	0	0
MTELC0000217	50	100	60	40	1
MTELC0000218	50	100	60	40	1
MTELC0000219	50	100	60	40	1
MTELC0000220	50	100	60	40	1
MTELC0000221	50	100	60	40	1
MTELC0000222	0	0	0	0	0
MTELC0000223	50	100	60	40	1
MTELC0000224	50	100	60	40	1
MTELC0000225	50	100	60	40	1
MTELC0000226	50	100	60	40	1
MTELC0000227	25	50	30	20	1
MTELC0000228	10	20	11	9	1
MTELC0000229	10	20	11	9	1
MTELC0000230	10	20	11	9	1
MTELC0000231	10	20	11	9	1
MTELC0000232	10	20	11	9	1
MTELC0000233	10	20	11	9	1
MTELC0000234	10	20	11	9	1
MTELC0000235	10	20	11	9	1
MTELC0000236	10	20	11	9	1
MTELC0000237	10	20	11	9	1
MTELC0000238	10	20	11	9	1
MTELC0000239	10	20	11	9	1
MTELC0000240	10	20	11	9	1
MTELC0000241	10	20	11	9	1
MTELC0000242	10	20	11	9	1
MTELC0000243	10	20	11	9	1
MTELC0000244	10	20	11	9	1
MTELC0000245	10	20	11	9	1
MTELC0000246	10	20	11	9	1
MTELC0000247	10	20	11	9	1
MTELC0000248	10	20	11	9	1
MTELC0001461	5	10	6	4	1
MTELC0001462	20	50	25	25	1
MTELC0001463	5	10	6	4	1
MTELC0001464	0	0	0	0	0
MTELC0001465	10	15	11	4	1
MTELC0001466	10	15	11	4	1
MTELC0001467	10	15	11	4	1
MTELC0001468	1	2	1	1	1
MTELC0001469	3	5	3	2	1
MTELC0001470	1	2	1	1	1
MTELC0001471	1	2	1	1	1
MTELC0001472	2	5	1	4	1
MTELC0001473	2	5	1	4	1
MTELC0001474	50	100	55	50	1
MTELC0001475	5	10	6	4	1
MTELC0001476	5	10	6	4	1
MTELC0001477	2	4	3	1	1
MTELC0001478	10	20	11	9	1
MTELC0001479	2	4	3	1	1
MTELC0001480	0	0	0	0	0
MTELC0001481	0	0	0	0	0
MTELC0001482	1	1	1	0	1
MTELC0001483	1	2	1	1	1
MTELC0001484	1	1	1	0	1
MTELC0001485	1	2	1	1	1
MTELC0001486	1	2	1	1	1
MTELC0001487	1	2	1	1	1
MTELC0001488	5	10	6	5	1
MTELC0001489	5	10	6	5	1
MTELC0001490	5	10	6	5	1
MTELC0001491	5	10	6	5	1
MTELC0001492	5	10	6	5	1
MTELC0001493	1	2	1	1	1
MTELC0001494	0	0	0	0	0
MTELC0001495	1	2	1	1	1
MTELC0001496	3	6	4	2	1
MTELC0001497	3	6	4	2	1
MTELC0001498	5	10	6	4	1
MTELC0001499	5	10	6	4	1
MTELC0001500	0	0	0	0	0
MTELC0001501	3	5	4	1	1
MTELC0001502	0	0	0	0	0
MTELC0001503	0	0	0	0	0
MTELC0001504	0	0	0	0	0
MTELC0001505	0	0	0	0	0
MTELC0001506	5	10	6	4	1
MTELC0001507	5	10	6	4	1
MTELC0001508	0	0	0	0	0
MTELC0001509	0	0	0	0	0
MTELC0001510	0	0	0	0	0
MTELC0001511	0	0	0	0	0
MTELC0001512	0	0	0	0	0
MTELC0001513	2	4	3	1	1
MTELC0001514	2	4	3	1	1
MTELC0001515	2	4	3	1	1
MTELC0001516	2	4	3	1	1
MTELC0001517	0	0	0	0	0
MTELC0001518	0	0	0	0	0
MTELC0001519	0	0	0	0	0
MTELC0001520	1	2	1	1	1
MTELC0001521	10	15	11	4	1
MTELC0001522	2	3	2	1	1
MTELC0001523	3	6	4	2	1
MTELC0001524	3	6	4	2	1
MTELC0001525	0	0	0	0	0
MTELC0001526	3	5	4	1	1
MTELC0001527	5	10	6	4	1
MTELC0001528	0	0	0	0	0
MTELC0001529	0	0	0	0	0
MTELC0001530	0	0	0	0	0
MTELC0001531	0	0	0	0	0
MTELC0001532	0	0	0	0	0
MTELC0001533	0	0	0	0	0
MTELC0001534	0	0	0	0	0
MTELC0001535	0	0	0	0	0
MTELC0001536	0	0	0	0	0
MTELC0001537	0	0	0	0	0
MTELC0001538	0.5	1	0.6	0.4	1
MTELC0001539	0.5	1	0.6	0.4	1
MTELC0001540	0.5	1	0.6	0.4	1
MTELC0001541	15	25	16	9	1
MTELC0001542	15	25	16	9	1
MTELC0001543	15	25	16	9	1
MTELC0001544	15	25	16	9	1
MTELC0001545	15	25	16	9	1
MTELC0001546	15	25	16	9	1
MTELC0001547	15	25	16	9	1
MTELC0001551	15	25	16	9	1
MTELC0001552	3	5	4	1	1
MTELC0001562	0	1	0	1	1
MTELC0001594	0	0	0	0	0
MTELC0001597	0	0	0	0	0
MTELC0001609	0	0	0	0	0
MTELC0001612	3	5	4	1	1
MTELC0001632	0	0	0	0	0
MTELC0001646	5	10	6	4	1
MTELC0001647	5	10	6	4	1
MTELC0001648	3	5	4	1	1
MTELC0001651	0	0	0	0	0
MTELC0001652	0	0	0	0	0
MTELC0001653	5	10	6	4	1
MTELC0001654	5	10	6	4	1
MTELC0001655	0	0	0	0	0
MTELC0001671	2	5	3	2	1
MTELC0001672	0	0	0	0	0
MTELC0001673	0	0	0	0	0
MTELC0001675	0	0	0	0	0
MTELC0001676	0	0	0	0	0
MTELC0001683	0	0	0	0	0
MTELC0001684	0	0	0	0	0
MTELC0001685	0	0	0	0	0
MTELC0001802	0	0	0	0	0
MTELC0001909	0	0	0	0	0
MTELC0001920	0	0	0	0	0
MTELC0001921	0	0	0	0	0
MTELC0001942	0	0	0	0	0
MTELC0001943	0	0	0	0	0
MTELC0001944	0	0	0	0	0
MTELC0001987	0	0	0	0	0
MTELC0001988	0	0	0	0	0
MTELC0001989	0	0	0	0	0
MTELC0001990	0	0	0	0	0
MTELC0001991	0	0	0	0	0
MTELC0001999	0	0	0	0	0
MTELC0002000	1	2	1	1	1
MTELC0002001	1	2	1	1	1
MTELC0002002	1	2	1	1	1
MTELC0002003	1	2	1	1	1
MTELC0002004	2	4	2	2	1
MTELC0002005	5	10	6	4	1
MTELC0002006	0	0	0	0	0
MTELC0002007	0	0	0	0	0
MTELC0002008	3	6	4	2	1
MTELC0002009	3	6	4	2	1
MTELC0002010	0	0	0	0	0
MTELC0002011	0	0	0	0	0
MTELC0002012	0	0	0	0	0
MTELC0002013	0	0	0	0	0
MTELC0002014	0	0	0	0	0
MTELC0002015	0	0	0	0	0
