Item No	Item Description	Inventory UoM	catno	stkmaintain	active	Warehouse	MIN	MAX	ROL	ROQ	LT	SHP
MTMEC0000743	MECHANICAL - BEARING SINGLE BALL 6001 ZZ DND	NOS	2	1	1	1	4	8	5	6	7	30
MTMEC0000744	MECHANICAL - BEARING SINGLE BALL 6002 EE	NOS	2	1	1	1	6	10	7	8	7	30
MTMEC0000745	MECHANICAL - BEARING SINGLE BALL 6004 LLU DND	NOS	2	1	1	1	4	6	5	4	7	30
MTMEC0000746	MECHANICAL - BEARING SINGLE BALL 6005 ZZ - DND	NOS	2	1	1	1	6	10	7	8	7	30
MTMEC0000747	MECHANICAL - BEARING SINGLE BALL 6006 EEC3 (J30)	NOS	2	1	1	1	4	8	5	6	7	30
MTMEC0000748	MECHANICAL - BEARING SINGLE BALL 6007 ZZE	NOS	2	1	1	1	6	10	7	8	7	30
MTMEC0000749	MECHANICAL - BEARING SINGLE BALL 6201 LLU DND	NOS	2	1	1	1	2	8	4	5	7	30
MTMEC0000750	MECHANICAL - BEARING SINGLE BALL 6202 LLU DND	NOS	2	1	1	1	4	8	5	6	7	30
MTMEC0000751	MECHANICAL - BEARING SINGLE BALL 6204 LLU- DND	NOS	2	1	1	1	4	6	5	4	7	30
MTMEC0000752	MECHANICAL - BEARING SINGLE BALL 6205 ZZ -DND	NOS	2	1	1	1	6	10	7	8	7	30
MTMEC0000758	MECHANICAL - BEARING SINGLE BALL 6304 ZZ DND	NOS	2	1	1	1	4	6	5	4	7	30
MTMEC0000760	MECHANICAL - BEARING SINGLE BALL 6306 LLU/2NSV1	NOS	2	1	1	1	2	4	3	2	7	30
MTMEC0000761	MECHANICAL - BEARING SINGLE BALL 6307 - LLU DND	NOS	2	1	1	1	4	6	5	4	7	30
MTMEC0000763	MECHANICAL - BEARING SINGLE BALL 7009	NOS	2	1	1	1	2	4	3	2	7	30
MTMEC0000950	MECHANICAL - PILLOW BLOCK  BEARING UCP 206	NOS	2	1	1	1	2	4	3	2	7	30
MTMEC0000951	MECHANICAL - PILLOW BLOCK BEARING UCP 207	NOS	2	1	1	1	2	4	3	2	7	30
MTMEC0000952	MECHANICAL - PILLOW BLOCK BEARING UCP 211	NOS	2	1	1	1	2	4	3	2	7	30
MTMEC0001595	MECHANICAL- BEARING GUIDE(XBD-20)	NOS	2	1	1	1	2	4	3	2	7	30
MTMEC0001631	MECHANICAL - BEARING SINGLE BALL 6203ZZ	NOS	2	1	1	1	4	6	5	4	7	30
MTMEC0001691	MECHANICAL - PILLOW BLOCK BEARING UCP 205	NOS	2	1	1	1	2	4	3	2	7	30
MTMEC0001693	MECHANICAL - BEARING SINGLE BALL 6001 LLU DND	NOS	2	1	1	1	4	8	5	6	7	30
MTMEC0001694	MECHANICAL - BEARING SINGLE BALL 6005 LLU - DND	NOS	2	1	1	1	4	8	5	6	7	30
MTMEC0001695	MECHANICAL - BEARING   6006 ZZ  DND	NOS	2	1	1	1	4	8	5	6	7	30
MTMEC0001697	MECHANICAL - BEARING  6202 ZZ  DND	NOS	2	1	1	1	4	8	5	6	7	30
MTMEC0001698	MECHANICAL - BEARING  6203 ZZ -DND	NOS	2	1	1	1	4	8	5	6	7	30
MTMEC0001699	MECHANICAL - BEARING   626 ZZ DND	NOS	2	1	1	1	2	4	3	2	7	30
MTMEC0001700	MECHANICAL - BEARING 6202 ZZ DND	NOS	2	1	1	1	4	6	5	4	7	30
MTMEC0001701	MECHANICAL - BEARING  6007 ZZ DND	NOS	2	1	1	1	4	10	5	8	7	30
MTMEC0001702	MECHANICAL - BEARING   6003 LLU DND	NOS	2	1	1	1	2	4	3	2	7	30
MTMEC0001703	MECHANICAL - BEARING   6308 LLU KG	NOS	2	1	1	1	2	6	5	2	7	30
MTMEC0001709	MECHANICAL - BEARING   626 ZZ DND	NOS	2	1	1	1	2	4	3	2	7	30
MTMEC0001711	MECHANICAL - BEARING 1204 KSM	NOS	2	1	1	1	2	4	3	2	7	30
MTMEC0001716	MECHANICAL - BEARING   5205 NR - NACHI	NOS	2	1	1	1	2	4	3	2	7	30
MTMEC0001718	MECHANICAL - BEARING  6005 LLU - NACHI	NOS	2	1	1	1	4	6	5	4	7	30
MTMEC0001719	MECHANICAL - BEARING   6006 LLU DND	NOS	2	1	1	1	2	6	4	3	7	30
MTMEC0001720	MECHANICAL - BEARING  6007 LLU - NACHI	NOS	2	1	1	1	6	8	7	6	7	30
MTMEC0001729	MECHANICAL - BEARING 6306 LLU - NACHI	NOS	2	1	1	1	2	6	4	3	7	30
MTMEC0001730	MECHANICAL - BEARING  6307 - LLU NACHI	NOS	2	1	1	1	4	8	5	6	7	30
MTMEC0001733	MECHANICAL - BEARING  BALL 6204 ZZ  NACHI	NOS	2	1	1	1	2	4	5	0	7	30
MTMEC0001734	MECHANICAL - BEARING  BALL 6203 ZZ -NACHI	NOS	2	1	1	1	2	4	5	0	7	30
MTMEC0001735	MECHANICAL - BEARING 6305 ZZ -NACHI	NOS	2	1	1	1	4	8	5	6	7	30
MTMEC0001737	MECHANICAL - BEARING  6206ZZ - NACHI	NOS	2	1	1	1	8	12	10	9	7	30
MTMEC0001738	MECHANICAL - BEARING 6305 LLU NACHI	NOS	2	1	1	1	2	4	3	2	7	30
MTMEC0001740	MECHANICAL - BEARING 6001 ZZ NACHI	NOS	2	1	1	1	4	8	8	3	7	30
MTMEC0001690	MECHANICAL - PILLOW BLOCK  BEARING UCP 210	NOS	2	1	1	1	0	0	0	0	7	30
MTMEC0001692	MECHANICAL - PILLOW BLOCK BEARING UCF 211	NOS	2	1	1	1	0	0	0	0	7	30
MTMEC0001696	MECHANICAL - BEARING  -DND	NOS	2	1	1	1	0	0	0	0	7	30
MTMEC0001704	MECHANICAL - BEARING LBD 20 - IKO	NOS	2	1	1	1	0	0	0	0	7	30
MTMEC0001705	MECHANICAL - BEARING LBD 25 - IKO	NOS	2	1	1	1	0	0	0	0	7	30
MTMEC0001706	MECHANICAL - BEARING TLA1816ZOH - IKO	NOS	2	1	1	1	0	0	0	0	7	30
MTMEC0001707	MECHANICAL - BEARING LBE 20 - IKO	NOS	2	1	1	1	0	0	0	0	7	30
MTMEC0001708	MECHANICAL - BEARING LBE 25UU - IKO	NOS	2	1	1	1	0	0	0	0	7	30
MTMEC0001710	MECHANICAL - BEARING   6208 KOYO	NOS	2	1	1	1	0	0	0	0	7	30
MTMEC0001712	MECHANICAL - BEARING   5307S- KSM	NOS	2	1	1	1	0	0	0	0	7	30
MTMEC0001713	MECHANICAL - BEARING UCP 206 - LK	NOS	2	1	1	1	0	0	0	0	7	30
MTMEC0001714	MECHANICAL - BEARING UCP 210 - LK	NOS	2	1	1	1	0	0	0	0	7	30
MTMEC0001715	MECHANICAL - BEARING UCP 211 - LK	NOS	2	1	1	1	0	0	0	0	7	30
MTMEC0001717	MECHANICAL - BEARING   6003 LLU - NACHI	NOS	2	1	1	1	0	0	0	0	7	30
MTMEC0001721	MECHANICAL - BEARING   6201 LLU NACHI	NOS	2	1	1	1	0	0	0	0	7	30
MTMEC0001722	MECHANICAL - BEARING   6201 ZZ -NACHI	NOS	2	1	1	1	0	0	0	0	7	30
MTMEC0001723	MECHANICAL - BEARING  6202 LLU NACHI	NOS	2	1	1	1	0	0	0	0	7	30
MTMEC0001724	MECHANICAL - BEARING  6202 ZZ NACHI	NOS	2	1	1	1	0	0	0	0	7	30
MTMEC0001725	MECHANICAL - BEARING 6205 LLU -NACHI	NOS	2	1	1	1	0	0	0	0	7	30
MTMEC0001726	MECHANICAL - BEARING  6205 ZZ -NACHI	NOS	2	1	1	1	0	0	0	0	7	30
MTMEC0001727	MECHANICAL - BEARING   6206 LLU NACHI	NOS	2	1	1	1	0	0	0	0	7	30
MTMEC0001728	MECHANICAL - BEARING   6209 ZZ NACHI	NOS	2	1	1	1	0	0	0	0	7	30
MTMEC0001731	MECHANICAL - BEARING   6308 LLU NACHI	NOS	2	1	1	1	0	0	0	0	7	30
MTMEC0001732	MECHANICAL - BEARING   6308 ZZ NACHI	NOS	2	1	1	1	0	0	0	0	7	30
MTMEC0001736	MECHANICAL - BEARING   6003 ZZ - NACHI	NOS	2	1	1	1	0	0	0	0	7	30
MTMEC0001739	MECHANICAL - BEARING  6005 ZZ - NACHI	NOS	2	1	1	1	0	0	0	0	7	30
MTMEC0001741	MECHANICAL - BEARING   6200 ZZ-NACHI	NOS	2	1	1	1	0	0	0	0	7	30
MTMEC0001742	MECHANICAL - BEARING  6006 ZZ -NACHI	NOS	2	1	1	1	0	0	0	0	7	30
MTMEC0001743	MECHANICAL - BEARING  6002 LLU- NACHI 	NOS	2	1	1	1	0	0	0	0	7	30
MTMEC0001744	MECHANICAL - BEARING   6008 ZZ-NACHI	NOS	2	1	1	1	0	0	0	0	7	30
MTMEC0001745	MECHANICAL - BEARING   51110 - NACHI	NOS	2	1	1	1	0	0	0	0	7	30
MTMEC0001746	MECHANICAL - BEARING 6001 LLU - NACHI	NOS	2	1	1	1	0	0	0	0	7	30
MTMEC0001747	MECHANICAL - BEARING  6202 ZZ NACHI	NOS	2	1	1	1	0	0	0	0	7	30
MTMEC0001748	MECHANICAL - BEARING   6207 ZZ NACHI	NOS	2	1	1	1	0	0	0	0	7	30
MTMEC0001749	MECHANICAL - BEARING   6208 ZZ NACHI	NOS	2	1	1	1	0	0	0	0	7	30
MTMEC0001750	MECHANICAL - BEARING  6204 LLU- NACHI	NOS	2	1	1	1	0	0	0	0	7	30
MTMEC0001751	MECHANICAL - BEARING  6304 ZZ NACHI	NOS	2	1	1	1	0	0	0	0	7	30
MTMEC0001752	MECHANICAL - BEARING   6208 ZZ -NSK	NOS	2	1	1	1	0	0	0	0	7	30
MTMEC0001753	MECHANICAL - BEARING 6208 LLU - C3- NSK	NOS	2	1	1	1	0	0	0	0	7	30
MTMEC0001754	MECHANICAL - BEARING   6000 ZZ  NTN	NOS	2	1	1	1	0	0	0	0	7	30
MTMEC0001755	MECHANICAL - BEARING   6006 ZZ  NTN	NOS	2	1	1	1	0	0	0	0	7	30
MTMEC0001756	MECHANICAL - BEARING   6008 ZZ  NTN	NOS	2	1	1	1	0	0	0	0	7	30
MTMEC0001757	MECHANICAL - BEARING   6203 ZZ  NTN	NOS	2	1	1	1	0	0	0	0	7	30
MTMEC0001758	MECHANICAL - BEARING   6204 LLU -NTN	NOS	2	1	1	1	0	0	0	0	7	30
MTMEC0001759	MECHANICAL - BEARING   6204 ZZ -NTN	NOS	2	1	1	1	0	0	0	0	7	30
MTMEC0001760	MECHANICAL - BEARING   6207 ZZ -NTN	NOS	2	1	1	1	0	0	0	0	7	30
MTMEC0001761	MECHANICAL - BEARING   6306 ZZ -NTN	NOS	2	1	1	1	0	0	0	0	7	30
MTMEC0001762	MECHANICAL - BEARING   6307 ZZ -NTN	NOS	2	1	1	1	0	0	0	0	7	30
MTMEC0001763	MECHANICAL - BEARING   1207  -NTN	NOS	2	1	1	1	0	0	0	0	7	30
MTMEC0001764	MECHANICAL - BEARING   6202 ZZ  -NTN	NOS	2	1	1	1	0	0	0	0	7	30
MTMEC0001765	MECHANICAL - BEARING   6205 ZZ  -NTN	NOS	2	1	1	1	0	0	0	0	7	30
MTMEC0001766	MECHANICAL - BEARING   6009 LLU -NTN	NOS	2	1	1	1	0	0	0	0	7	30
MTMEC0001767	MECHANICAL - BEARING   6004 ZZ -NTN	NOS	2	1	1	1	0	0	0	0	7	30
MTMEC0001768	MECHANICAL - BEARING   6007 -NTN	NOS	2	1	1	1	0	0	0	0	7	30
MTMEC0001769	MECHANICAL - BEARING   6011 -ZZ NTN	NOS	2	1	1	1	0	0	0	0	7	30
MTMEC0001770	MECHANICAL - BEARING   6011 -LLU NTN	NOS	2	1	1	1	0	0	0	0	7	30
MTMEC0001771	MECHANICAL - BEARING   6304 -LLU NTN	NOS	2	1	1	1	0	0	0	0	7	30
MTMEC0001772	MECHANICAL - BEARING   3208 - NTN	NOS	2	1	1	1	0	0	0	0	7	30
MTMEC0001773	MECHANICAL - BEARING   1205 BW	NOS	2	1	1	1	0	0	0	0	7	30
MTMEC0001774	MECHANICAL - BEARING   885166K-DND	NOS	2	1	1	1	0	0	0	0	7	30
MTMEC0001775	MECHANICAL - BEARING   1205 DND	NOS	2	1	1	1	0	0	0	0	7	30
MTMEC0001776	MECHANICAL - BEARING   6002 LLU  -DND	NOS	2	1	1	1	0	0	0	0	7	30
MTMEC0001777	MECHANICAL - BEARING  1203 - DND	NOS	2	1	1	1	0	0	0	0	7	30
MTMEC0001778	MECHANICAL - BEARING   6200 ZZ DND	NOS	2	1	1	1	0	0	0	0	7	30
MTMEC0001779	MECHANICAL - BEARING   6002 ZZ  -DND	NOS	2	1	1	1	0	0	0	0	7	30
MTMEC0001780	MECHANICAL - BEARING  6203 LLU -DND	NOS	2	1	1	1	0	0	0	0	7	30
MTMEC0000690	MECHANICAL - BEARING   013-050617	NOS	2	1	1	1	0	0	0	0	7	30
MTMEC0000691	MECHANICAL - BEARING   013-980518	NOS	2	1	1	1	0	0	0	0	7	30
MTMEC0000696	MECHANICAL - BEARING   4C207 -G2	NOS	2	1	1	1	0	0	0	0	7	30
MTMEC0000698	MECHANICAL - BEARING   51108 A	NOS	2	1	1	1	0	0	0	0	7	30
MTMEC0000700	MECHANICAL - BEARING   5205 EE G 15 (EE)	NOS	2	1	1	1	0	0	0	0	7	30
MTMEC0000703	MECHANICAL - BEARING   5208 ZZ G 15  (ZZ)	NOS	2	1	1	1	0	0	0	0	7	30
MTMEC0000708	MECHANICAL - BEARING   6009 ZZ	NOS	2	1	1	1	0	0	0	0	7	30
MTMEC0000709	MECHANICAL - BEARING   6009 ZZ C3 (J 30 )	NOS	2	1	1	1	0	0	0	0	7	30
MTMEC0000710	MECHANICAL - BEARING   6010 EE	NOS	2	1	1	1	0	0	0	0	7	30
MTMEC0000711	MECHANICAL - BEARING   608 EE	NOS	2	1	1	1	0	0	0	0	7	30
MTMEC0000712	MECHANICAL - BEARING   61907 - 2RS	NOS	2	1	1	1	0	0	0	0	7	30
MTMEC0000722	MECHANICAL - BEARING   623 ZZ	NOS	2	1	1	1	0	0	0	0	7	30
MTMEC0000723	MECHANICAL - BEARING   626 EE	NOS	2	1	1	1	0	0	0	0	7	30
MTMEC0000724	MECHANICAL - BEARING   6301 ZZ	NOS	2	1	1	1	0	0	0	0	7	30
MTMEC0000728	MECHANICAL - BEARING   697	NOS	2	1	1	1	0	0	0	0	7	30
MTMEC0000729	MECHANICAL - BEARING   96121701 EE2	NOS	2	1	1	1	0	0	0	0	7	30
MTMEC0000730	MECHANICAL - BEARING   HK 1512 - ASI B	NOS	2	1	1	1	0	0	0	0	7	30
MTMEC0000731	MECHANICAL - BEARING BALLER 6211 2RS	NOS	2	1	1	1	0	0	0	0	7	30
MTMEC0000732	MECHANICAL - BEARING BALLER 6216	NOS	2	1	1	1	0	0	0	0	7	30
MTMEC0000739	MECHANICAL - BEARING LEANER LM20UU	NOS	2	1	1	1	0	0	0	0	7	30
MTMEC0000740	MECHANICAL - BEARING LEANER LM25UU	NOS	2	1	1	1	0	0	0	0	7	30
MTMEC0000741	MECHANICAL - BEARING ROLL  15 MM X 15 MM	NOS	2	1	1	1	0	0	0	0	7	30
MTMEC0000753	MECHANICAL - BEARING SINGLE BALL 6206 EEC3 (J30)	NOS	2	1	1	1	0	0	0	0	7	30
MTMEC0000754	MECHANICAL - BEARING SINGLE BALL 6208 2NSE9	NOS	2	1	1	1	0	0	0	0	7	30
MTMEC0000755	MECHANICAL - BEARING SINGLE BALL 6208 ZZC3	NOS	2	1	1	1	0	0	0	0	7	30
MTMEC0000756	MECHANICAL - BEARING SINGLE BALL 628 RS	NOS	2	1	1	1	0	0	0	0	7	30
MTMEC0000757	MECHANICAL - BEARING SINGLE BALL 6303 EE	NOS	2	1	1	1	0	0	0	0	7	30
MTMEC0000762	MECHANICAL - BEARING SINGLE BALL 6308 2NSE9	NOS	2	1	1	1	0	0	0	0	7	30
MTMEC0000764	MECHANICAL - BEARING TRUST 51109 A	NOS	2	1	1	1	0	0	0	0	7	30
MTMEC0000765	MECHANICAL - BEARING TRUST 51315	NOS	2	1	1	1	0	0	0	0	7	30
MTMEC0001633	MECHANICAL - BEARING  6210 EE	NOS	2	1	1	1	0	0	0	0	7	30
MTMEC0000688	MECHANICAL - BELT - 124 	NOS	3	1	1	1	1	2	2	2	7	30
MTMEC0000767	MECHANICAL - BELT   A 47	NOS	3	1	1	1	1	4	2	2	7	30
MTMEC0000776	MECHANICAL - BELT   B 51	NOS	3	1	1	1	1	4	2	2	7	30
MTMEC0000778	MECHANICAL - BELT   B 81	NOS	3	1	1	1	2	6	3	4	7	30
MTMEC0000780	MECHANICAL - BELT   B 89	NOS	3	1	1	1	1	4	2	2	7	30
MTMEC0000792	MECHANICAL - BELT  A - 41	NOS	3	1	1	1	1	4	2	2	7	30
MTMEC0000793	MECHANICAL - BELT  A - 51	NOS	3	1	1	1	1	4	2	2	7	30
MTMEC0000795	MECHANICAL - BELT  A- 38	NOS	3	1	1	1	1	4	2	2	7	30
MTMEC0000798	MECHANICAL - BELT  A28	NOS	3	1	1	1	1	4	2	2	7	30
MTMEC0000803	MECHANICAL - BELT  A48	NOS	3	1	1	1	2	6	3	4	7	30
MTMEC0000804	MECHANICAL - BELT  A50	NOS	3	1	1	1	1	4	2	3	7	30
MTMEC0000805	MECHANICAL - BELT  A52	NOS	3	1	1	1	1	4	2	3	7	30
MTMEC0000806	MECHANICAL - BELT  A55	NOS	3	1	1	1	1	4	2	3	7	30
MTMEC0000810	MECHANICAL - BELT  A78	NOS	3	1	1	1	1	4	2	3	7	30
MTMEC0000824	MECHANICAL - BELT  B52	NOS	3	1	1	1	1	4	2	3	7	30
MTMEC0000825	MECHANICAL - BELT  B58	NOS	3	1	1	1	1	4	2	3	7	30
MTMEC0000826	MECHANICAL - BELT  B63	NOS	3	1	1	1	2	6	3	4	7	30
MTMEC0000828	MECHANICAL - BELT  B69	NOS	3	1	1	1	1	4	2	3	7	30
MTMEC0000833	MECHANICAL - BELT  HOPPER 105 MM X 3048MM	NOS	3	1	1	1	2	8	4	6	7	30
MTMEC0000834	MECHANICAL - BELT  HOPPER 25 MM X 2438MM	NOS	3	1	1	1	10	30	15	25	7	30
MTMEC0000835	MECHANICAL - BELT  HOPPER 50 MM X 3556MM	NOS	3	1	1	1	10	30	15	25	7	30
MTMEC0000836	MECHANICAL - BELT  HOPPER 50 MM X 2438MM	NOS	3	1	1	1	10	30	15	25	7	30
MTMEC0000837	MECHANICAL - BELT  HOPPER 89 MM X 2438MM	NOS	3	1	1	1	10	30	15	25	7	30
MTMEC0000846	MECHANICAL - BELT TEETH 203L (25MM) MAYER  BAR	NOS	3	1	1	1	1	2	2	1	7	30
MTMEC0000851	MECHANICAL - BELT B -53	NOS	3	1	1	1	2	6	3	4	7	30
MTMEC0000852	MECHANICAL - BELT HOPPER 50 mm X 2794mm	NOS	3	1	1	1	8	24	12	15	7	30
MTMEC0000853	MECHANICAL - BELT HOPPER 65 mm X 3556mm	NOS	3	1	1	1	10	30	15	25	7	30
MTMEC0000854	MECHANICAL - BELT HOPPER 89 mm X 2794mm	NOS	3	1	1	1	15	40	20	30	7	30
MTMEC0000855	MECHANICAL - BELT HOPPER 89 mm X 3556mm	NOS	3	1	1	1	5	20	10	10	7	30
